#{"t_start": 1620345268.8266912, "env_id": null}
r,l,t
-1708.413466,401,2249.580923
-309.831988,401,2254.970335
-308.926185,401,2260.394553
-308.342681,401,2265.789368
-335.411936,401,2271.202456
-4379.940448,401,2276.899261
-1212.529179,401,2282.302553
-314.398701,401,2287.669571
-493.136591,401,2293.244208
-259.459891,401,2298.651649
-2869.561464,401,2304.036095
-356.22806,401,2309.446744
-326.711756,401,2314.850114
-3311.267755,401,2320.268179
-340.798649,401,2325.704304
-434.370708,401,2331.130772
-2628.120288,401,2336.609307
-591.530621,401,2343.007713
-3761.199892,401,2348.508224
-1976.372744,401,2353.884318
-1729.983894,401,2359.429494
-855.459396,401,2364.870981
-2498.713463,401,2370.2842
-367.577214,401,2375.78651
-1772.788908,401,2381.185795
-847.454156,401,2386.625162
-2734.900303,401,2391.980963
-343.41723,401,2397.424083
-1055.496924,401,2402.849282
-3235.670268,401,2408.277094
-387.726999,401,2413.701542
-3385.238219,401,2419.234453
-740.615737,401,2424.62348
-605.629984,401,2430.022331
-2454.989398,401,2435.401146
-1582.093565,401,2440.861829
-3175.779356,401,2446.549991
-983.790991,401,2451.958289
-2570.294373,401,2457.35763
-1761.034129,401,2462.754323
-3356.776939,401,2468.147384
-578.826878,401,2473.534343
-1105.798771,401,2478.983552
-315.766168,401,2484.374081
-342.435817,401,2489.745353
-1715.451338,401,2495.159696
-2776.580672,401,2500.530017
-2251.566893,401,2505.942944
-2865.287474,401,2511.331123
-414.876114,401,2517.071423
-1583.784773,401,2522.491731
-2089.771589,401,2527.976372
-2399.059835,401,2533.408345
-2142.791987,401,2538.921885
-2515.101525,401,2544.366034
-2498.149524,401,2549.822527
-415.168627,401,2555.272319
-391.747003,401,2560.718207
-447.106546,401,2566.13359
-292.463127,401,2571.495209
-2075.091464,401,2576.918535
-326.593103,401,2582.375575
-584.601501,401,2587.80723
-2596.062865,401,2593.228764
-280.523806,401,2598.685583
-2975.701904,401,2604.121987
-389.000304,401,2609.515903
-370.805603,401,2614.910859
-908.201569,401,2620.471817
-3129.21019,401,2625.90444
-3439.847676,401,2631.353311
-319.533427,401,2636.856805
-343.952404,401,2642.238495
-4514.799555,401,2647.634819
-418.859245,401,2653.005614
-3639.631259,401,2658.490166
-2834.049852,401,2663.910195
-329.752904,401,2669.30294
-1787.92205,401,2674.694377
-516.07397,401,2680.089408
-1079.444749,401,2685.470865
-485.629155,401,2691.120114
-4245.855663,401,2696.499644
-313.847305,401,2701.876343
-390.03195,401,2707.258642
-384.071829,401,2712.720269
-414.088967,401,2718.089189
-471.329468,401,2723.488163
-430.424323,401,2729.214097
-380.298485,401,2734.620762
-1128.824837,401,2739.965646
